FDA Handle,FDA Upload Date,Omeka Link,research,Confirmed/processed,Filename,File size,OCLC,Monograph/Serial,Type,Title (cyrillic) i͡e Ī ī Ẏ Ḟ ѣ,Title (romanized) ĭ  ë  i͡a  I͡A  ė  Ė  t͡s,Title (controlled)  T͡S  I͡U i͡u,Author (romanized),Author (cyrillic),Author's date of death,Place of publication (Cyrillic),Place of publication (romanized),Publisher (Cyrillic),Publishers (romanized),DCAA publisher number,Date,# of pages,Series (cyrillic),Series (romanized),Series/Serial numbering,Geographic region,Subject,Summary,Online version,Rights information,Notes,Additional Author 1,Additional Author 2,Additional Author 3,Additional Author 4,Series 2,Series 3,Language,Geospatial Data
dc.identifier.uri,,,,,filename,,,,dc.type,dc.title,,,,dc.contributor.author,,,,,,,dc.date.issued,,,,,,,,,dc.rights,,,,,,,,dc.language,
Dublin Core:Identifier,,Dublin Core:Identifier,,,Dublin Core:Relation,,Dublin Core:Identifier,,Dublin Core:Type,Dublin Core:Title,Dublin Core:Title,Dublin Core:Title,Dublin Core:Creator,Dublin Core:Creator,,Dublin Core:Publisher,Dublin Core:Publisher,Dublin Core:Publisher,Dublin Core:Publisher,,Dublin Core:Date,Dublin Core:Extent,Dublin Core:Description,Dublin Core:Description,,Dublin Core:Coverage,Dublin Core:Subject,,,Dublin Core:Rights,,Dublin Core:Creator,Dublin Core:Creator,Dublin Core:Creator,Dublin Core:Creator,Dublin Core:Description,Dublin Core:Description,Dublin Core:Language,Dublin Core:Coverage
http://hdl.handle.net/2451/38573,5/4/2017,http://dcaa.hosting.nyu.edu/items/show/1213,in,present,isawdca_000676.pdf,366 MB,3528964,monograph,book,"Сравнительный словарь турецко-татарскихъ наречiй, т. 1 ",Sravnitelʹnyĭ slovarʹ turet︠s︡ko-tatarskikh narechiĭ,Sravnitelʹnyĭ slovarʹ turet︠s︡ko-tatarskikh narechiĭ,"Budagovѣ, Lazarʹ, 1812-1878.","Будаговъ, Лазарь",1812-1878,Санктпетербургъ ,Sanktpeterburgѣ, тип. Имп. академіи наукъ,tip. Imp. akademīi naukѣ,0,1869,831,,,,,Turkic languages--Dictionaries--Polyglot. Turkic languages--Dialects.,"Value: 3. While the original was published in 19th century, the fact that it was reproduced in 1960 testifies to the fact that it still has scholarly value.","NO BOOK, https://books.google.com/books?id=2lVCAQAAIAAJ; FULL VIEW, http://cyberleninka.ru/article/n/sravnitelnyy-slovar-turetsko-tatarskih-narechiy-l-budagova","NYU believes this publication is in the public domain. However, if you believe that you are the copyright owner of any material displayed here, please see our takedown policy: http://dcaa.hosting.nyu.edu/takedown-notice.",Impression published in 1960,,,,,,,Russian,
http://hdl.handle.net/2451/38576,5/4/2017,http://dcaa.hosting.nyu.edu/items/show/1258,in,present,isawdca_000878.pdf,178 MB,3528964,monograph,book,"Сравнительный словарь турецко-татарскихъ наречiй, т. 2 ",Sravnitelʹnyĭ slovarʹ turet︠s︡ko-tatarskikh narechiĭ,Sravnitelʹnyĭ slovarʹ turet︠s︡ko-tatarskikh narechiĭ,"Budagovѣ, Lazarʹ, 1812-1878.","Будаговъ, Лазарь",1812-1878,Санктпетербургъ ,Sanktpeterburgѣ, тип. Имп. академіи наукъ,tip. Imp. akademīi naukѣ,0,1871,421,,,,,Turkic languages--Dictionaries--Polyglot. Turkic languages--Dialects.,"Value: 3. While the original was published in 19th century, the fact that it was reproduced in 1960 testifies to the fact that it still has scholarly value.","NO BOOK, https://books.google.com/books?id=2lVCAQAAIAAJ; FULL VIEW, http://cyberleninka.ru/article/n/sravnitelnyy-slovar-turetsko-tatarskih-narechiy-l-budagova","NYU believes this publication is in the public domain. However, if you believe that you are the copyright owner of any material displayed here, please see our takedown policy: http://dcaa.hosting.nyu.edu/takedown-notice.",Impression published in 1960,,,,,,,Russian,
http://hdl.handle.net/2451/38577,5/4/2017,http://dcaa.hosting.nyu.edu/items/show/1116,in,present,isawdca_000048.pdf,201 MB,682057228,monograph,book,Очеркъ историко-географ. сведений о Хивинскомъ ханстве... ,"Ocherk"" īstoriko-geograficheskikh svedīnīĭ o Khivinskom"" khanstvi︠e︡ ot drevni︠e︡ĭshikh vremen do nastoi︠a︡shchago",,"Veselovskīĭ, N. I. (Nikolaĭ Ivanovich) 1848-1918","Веселовскiй, Н. ",1848-1918,С.-Петербургъ ,S.-Peterburg,Типографія брат. Пантелесвыхъ,"Tip. brat. Panteleevykh""",0,1877,366,,,,Uzbekistan,Khiva (Uzbekistan). Uzbekistan -- Khiva. ,"Value: 2. A political history of the area around Khiva from antiquity to annexation by Russia. Based on written sources: Greek, Chinese, Byzantine, Arab, and Russian.","FULL VIEW, http://hdl.handle.net/2027/nyp.33433012974386","NYU believes this publication is in the public domain. However, if you believe that you are the copyright owner of any material displayed here, please see our takedown policy: http://dcaa.hosting.nyu.edu/takedown-notice.",Text starts on page III. Quality of the scan is poor with the previous page being vaguely visible under the text of the current page.,,,,,,,Russian,
http://hdl.handle.net/2451/38578,5/4/2017,http://dcaa.hosting.nyu.edu/items/show/1119,in,present,isawdca_000055.pdf,98.5 MB,972430482,monograph,book,Афганистанъ и сопредельныя страны (политико-историческiй очеркъ) ,"Afganistan"" i sopredel'nyi͡a strany (politico-istoricheskiĭ ocherk"")",,"I͡Uzhakov"" S.N.","Южаковъ, С.Н. ",1849-1910,С.-Петербургъ ,S.-Peterburg,,[No Publisher],0,1885,196,,,,Afganistan,Afganistan and adjacent countries (politico-historical overview),Value: 2. Mostly political history of Afganistan from Russian perspective of late 19th century. Minimal geographic and enthographic sketches.,,"NYU believes this publication is in the public domain. However, if you believe that you are the copyright owner of any material displayed here, please see our takedown policy: http://dcaa.hosting.nyu.edu/takedown-notice.",,,,,,,,Russian,
http://hdl.handle.net/2451/38579,5/4/2017,http://dcaa.hosting.nyu.edu/items/show/1128,in,present,isawdca_000064.pdf,4.94 MB,,monograph,book,Александръ Великiй въ Туркестанѣ,"Aleksandr"" Velikīĭ v"" Turkestani͡e",,"Li͡utov"", M.M.","Лютовъ, М.М. ",?,Ташкент ,Tashkent,Типо-литографiя С.И. Лахтина,Tipo-litografīi͡a S.I. Lahtina,0,1890,24,,,,Turkestan,Alexander the Great in Turkestan ,Value: 1. Rehashing of Alexander's Central Asian compain based on historical sources.,,"NYU believes this publication is in the public domain. However, if you believe that you are the copyright owner of any material displayed here, please see our takedown policy: http://dcaa.hosting.nyu.edu/takedown-notice.",From folder Disk16 new,,,,,,,Russian,
http://hdl.handle.net/2451/38580,5/4/2017,http://dcaa.hosting.nyu.edu/items/show/1120,in,present,isawdca_000056.pdf,194 MB,5337297,monograph,book,"Опытъ словаря тюркскихъ нарѣчiй, т. 1, ч. 1 ","Opyt"" slovari͡a ti͡urkskih"" nari͡echiĭ",,"Radlov, V. V. (Vasiliĭ Vasilʹevich), 1837-1918","Радлов, В.В. ",1837-1918,Санктпетербургъ,Sanktpeterburg,Императорская академii͡a наукъ,Imperatorskai͡a Akademīi͡a nauk,0,1893,508,,,"v. 1, part 1",,Turkic languages -- Dictionaries -- Polyglot. Turkic languages -- Dialects. Turkic languages.,"Value: 3. While the original was published in 19th century, the fact that it was reproduced in 1960 testifies to the fact that it still has scholarly value.",,"NYU believes this publication is in the public domain. However, if you believe that you are the copyright owner of any material displayed here, please see our takedown policy: http://dcaa.hosting.nyu.edu/takedown-notice.",,,,,,,,Russian,
http://hdl.handle.net/2451/38581,5/4/2017,http://dcaa.hosting.nyu.edu/items/show/1121,in,present,isawdca_000057.pdf,211 MB,5337297,monograph,book,"Опытъ словаря тюркскихъ нарѣчiй, т. 1, ч. 2 ","Opyt"" slovari͡a ti͡urkskih"" nari͡echiĭ",,"Radlov, V. V. (Vasiliĭ Vasilʹevich), 1837-1918","Радлов, В.В. ",1837-1918,Санктпетербургъ,Sanktpeterburg,Императорская академii͡a наукъ,Imperatorskai͡a Akademīi͡a nauk,0,1893,544,,,"v. 1, part 2",,Turkic languages -- Dictionaries -- Polyglot. Turkic languages -- Dialects. Turkic languages.,"Value: 3. While the original was published in 19th century, the fact that it was reproduced in 1960 testifies to the fact that it still has scholarly value.",,"NYU believes this publication is in the public domain. However, if you believe that you are the copyright owner of any material displayed here, please see our takedown policy: http://dcaa.hosting.nyu.edu/takedown-notice.",,,,,,,,Russian,
http://hdl.handle.net/2451/38582,5/4/2017,http://dcaa.hosting.nyu.edu/items/show/1129,in,present,isawdca_000065.pdf,62.5 MB,29936918,monograph,book,"Сарты. Этнографическiе матерiалы, изд. 2-е ",Sarty : ėtnograficheskīe materīaly,,"Ostroumov, N. P. (Nikolaĭ Petrovich), 1846-1930. ","Остроумовъ, Н.П. ",1846-1930,Ташкентъ ,"Tashkent""","Изданiе книжнаго магазина ""Букинистъ""","Izdanīe knizhnago magazina ""Bukinist""""",0,1896,286,,,,Uzbekistan,"Sarts (Asian people) -- History. Ethnology -- Asia, Central. Ethnology.",Value: 2. A book written by colonian Russian administrator at the end of 19th century. Of possible interest are some stories from folklore. ,"FULL VIEW, http://hdl.handle.net/2027/hvd.32044009880378","NYU believes this publication is in the public domain. However, if you believe that you are the copyright owner of any material displayed here, please see our takedown policy: http://dcaa.hosting.nyu.edu/takedown-notice.",,,,,,,,Russian,
