Dublin Core:Relation,Dublin Core:Type,Dublin Core:Date,Dublin Core:Extent,Dublin Core:Subject,Dublin Core:Rights,Dublin Core:Language,Dublin Core:Identifier,Dublin Core:Title,Dublin Core:Creator,Dublin Core:Publisher,Dublin Core:Description,Dublin Core:Coverage
full:001:https://archive.nyu.edu/bitstream/2451/42391/1/isawdca_000008.pdf|thumb:001:https://archive.nyu.edu/bitstream/2451/42391/2/isawdca_000008_thumb.png,serial,1977,280,Excavations (Archaeology)--Tajikistan--Periodicals. Tajikistan--Antiquities--Periodicals.,"The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.",Russian,<a href='http://hdl.handle.net/2451/42391'>http://hdl.handle.net/2451/42391</a>|<a href='http://www.worldcat.org/oclc/7105168'>OCLC: 7105168</a>,Археологические работы в Таджикистане.|Arkheologicheskie raboty v Tadzhikistane.|Arkheologicheskie raboty v Tadzhikistane,"Litvinskiĭ, B.A. (Boris Anatol'evich)","Душанбе|Dushanbe|Изд-во ""Дониш""|Izd-vo ""Donish""",,Tajikistan
full:001:https://archive.nyu.edu/bitstream/2451/42392/1/isawdca_000009.pdf|thumb:001:https://archive.nyu.edu/bitstream/2451/42392/2/isawdca_000009_thumb.png,serial,1979,392,Excavations (Archaeology)--Tajikistan--Periodicals. Tajikistan--Antiquities--Periodicals.,"The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.",Russian,<a href='http://hdl.handle.net/2451/42392'>http://hdl.handle.net/2451/42392</a>|<a href='http://www.worldcat.org/oclc/7105168'>OCLC: 7105168</a>,Археологические работы в Таджикистане.|Arkheologicheskie raboty v Tadzhikistane.|Arkheologicheskie raboty v Tadzhikistane,"Litvinskiĭ, B.A. (Boris Anatol'evich)","Душанбе|Dushanbe|Изд-во ""Дониш""|Izd-vo ""Donish""",,Tajikistan
full:001:https://archive.nyu.edu/bitstream/2451/42393/1/isawdca_000010.pdf|thumb:001:https://archive.nyu.edu/bitstream/2451/42393/2/isawdca_000010_thumb.png,serial,1980,365,Excavations (Archaeology)--Tajikistan--Periodicals. Tajikistan--Antiquities--Periodicals.,"The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.",Russian,<a href='http://hdl.handle.net/2451/42393'>http://hdl.handle.net/2451/42393</a>|<a href='http://www.worldcat.org/oclc/7105168'>OCLC: 7105168</a>,Археологические работы в Таджикистане.|Arkheologicheskie raboty v Tadzhikistane.|Arkheologicheskie raboty v Tadzhikistane,"Litvinskiĭ, B.A. (Boris Anatol'evich)","Душанбе|Dushanbe|Изд-во ""Дониш""|Izd-vo ""Donish""","Doklady (Akademii︠a︡i fanḣoi RSS Tojikston), t. 11.; Trudy (Akademii︠a︡i fanḣoi RSS Tojikiston), t. 37, 63, 91, 103.; Trudy (Instituti taʺrikhi ba nomi A. Donish), t. 27, 31, 34, 42.",Tajikistan
full:001:https://archive.nyu.edu/bitstream/2451/42394/1/isawdca_000011.pdf|thumb:001:https://archive.nyu.edu/bitstream/2451/42394/2/isawdca_000011_thumb.png,serial,1982,350,Excavations (Archaeology)--Tajikistan--Periodicals. Tajikistan--Antiquities--Periodicals.,"The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.",Russian,<a href='http://hdl.handle.net/2451/42394'>http://hdl.handle.net/2451/42394</a>|<a href='http://www.worldcat.org/oclc/7105168'>OCLC: 7105168</a>,Археологические работы в Таджикистане.|Arkheologicheskie raboty v Tadzhikistane.|Arkheologicheskie raboty v Tadzhikistane,"Litvinskiĭ, B.A. (Boris Anatol'evich) ","Душанбе|Dushanbe|Изд-во ""Дониш""|Izd-vo ""Donish""","Doklady (Akademii︠a︡i fanḣoi RSS Tojikston), t. 11.; Trudy (Akademii︠a︡i fanḣoi RSS Tojikiston), t. 37, 63, 91, 103.; Trudy (Instituti taʺrikhi ba nomi A. Donish), t. 27, 31, 34, 42.",Tajikistan
full:001:https://archive.nyu.edu/bitstream/2451/42395/1/isawdca_000012.pdf|thumb:001:https://archive.nyu.edu/bitstream/2451/42395/2/isawdca_000012_thumb.png,serial,1983,316,Excavations (Archaeology)--Tajikistan--Periodicals. Tajikistan--Antiquities--Periodicals.,"The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.",Russian,<a href='http://hdl.handle.net/2451/42395'>http://hdl.handle.net/2451/42395</a>|<a href='http://www.worldcat.org/oclc/7105168'>OCLC: 7105168</a>,Археологические работы в Таджикистане.|Arkheologicheskie raboty v Tadzhikistane.|Arkheologicheskie raboty v Tadzhikistane,"Litvinskiĭ, B.A. (Boris Anatol'evich)","Душанбе|Dushanbe|Изд-во ""Дониш""|Izd-vo ""Donish""","Doklady (Akademii︠a︡i fanḣoi RSS Tojikston), t. 11.; Trudy (Akademii︠a︡i fanḣoi RSS Tojikiston), t. 37, 63, 91, 103.; Trudy (Instituti taʺrikhi ba nomi A. Donish), t. 27, 31, 34, 42.",Tajikistan
full:001:https://archive.nyu.edu/bitstream/2451/42396/1/isawdca_000013.pdf|thumb:001:https://archive.nyu.edu/bitstream/2451/42396/2/isawdca_000013_thumb.png,serial,1984,377,Excavations (Archaeology)--Tajikistan--Periodicals. Tajikistan--Antiquities--Periodicals.,"The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.",Russian,<a href='http://hdl.handle.net/2451/42396'>http://hdl.handle.net/2451/42396</a>|<a href='http://www.worldcat.org/oclc/7105168'>OCLC: 7105168</a>,Археологические работы в Таджикистане.|Arkheologicheskie raboty v Tadzhikistane.|Arkheologicheskie raboty v Tadzhikistane,"Litvinskiĭ, B.A. (Boris Anatol'evich)","Душанбе|Dushanbe|Изд-во ""Дониш""|Izd-vo ""Donish""",,Tajikistan
full:001:https://archive.nyu.edu/bitstream/2451/42381/1/isawdca_000014.pdf|thumb:001:https://archive.nyu.edu/bitstream/2451/42381/2/isawdca_000014_thumb.png,serial,1986,477,Excavations (Archaeology)--Tajikistan--Periodicals. Tajikistan--Antiquities--Periodicals.,"The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.",Russian,<a href='http://hdl.handle.net/2451/42381'>http://hdl.handle.net/2451/42381</a>|<a href='http://www.worldcat.org/oclc/7105168'>OCLC: 7105168</a>,Археологические работы в Таджикистане.|Arkheologicheskie raboty v Tadzhikistane.|Arkheologicheskie raboty v Tadzhikistane,"Litvinskiĭ, B.A. (Boris Anatol'evich)","Душанбе|Dushanbe|Изд-во ""Дониш""|Izd-vo ""Donish""","Doklady (Akademii︠a︡i fanḣoi RSS Tojikston), t. 11.; Trudy (Akademii︠a︡i fanḣoi RSS Tojikiston), t. 37, 63, 91, 103.; Trudy (Instituti taʺrikhi ba nomi A. Donish), t. 27, 31, 34, 42.",Tajikistan
full:001:https://archive.nyu.edu/bitstream/2451/42382/1/isawdca_000015.pdf|thumb:001:https://archive.nyu.edu/bitstream/2451/42382/2/isawdca_000015_thumb.png,serial,1987,450,Excavations (Archaeology)--Tajikistan--Periodicals. Tajikistan--Antiquities--Periodicals.,"The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.",Russian,<a href='http://hdl.handle.net/2451/42382'>http://hdl.handle.net/2451/42382</a>|<a href='http://www.worldcat.org/oclc/7105168'>OCLC: 7105168</a>,Археологические работы в Таджикистане.|Arkheologicheskie raboty v Tadzhikistane.|Arkheologicheskie raboty v Tadzhikistane,"Litvinskiĭ, B.A. (Boris Anatol'evich)","Душанбе|Dushanbe|Изд-во ""Дониш""|Izd-vo ""Donish""","Doklady (Akademii︠a︡i fanḣoi RSS Tojikston), t. 11.; Trudy (Akademii︠a︡i fanḣoi RSS Tojikiston), t. 37, 63, 91, 103.; Trudy (Instituti taʺrikhi ba nomi A. Donish), t. 27, 31, 34, 42.",Tajikistan
full:001:https://archive.nyu.edu/bitstream/2451/42383/1/isawdca_000016.pdf|thumb:001:https://archive.nyu.edu/bitstream/2451/42383/2/isawdca_000016_thumb.png,serial,1988,414,Excavations (Archaeology)--Tajikistan--Periodicals. Tajikistan--Antiquities--Periodicals.,"The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.",Russian,<a href='http://hdl.handle.net/2451/42383'>http://hdl.handle.net/2451/42383</a>|<a href='http://www.worldcat.org/oclc/7105168'>OCLC: 7105168</a>,Археологические работы в Таджикистане.|Arkheologicheskie raboty v Tadzhikistane.|Arkheologicheskie raboty v Tadzhikistane,"Litvinskiĭ, B.A. (Boris Anatol'evich)","Душанбе|Dushanbe|Изд-во ""Дониш""|Izd-vo ""Donish""",,Tajikistan
full:001:https://archive.nyu.edu/bitstream/2451/42384/1/isawdca_000017.pdf|thumb:001:https://archive.nyu.edu/bitstream/2451/42384/2/isawdca_000017_thumb.png,serial,1990,374,Excavations (Archaeology)--Tajikistan--Periodicals. Tajikistan--Antiquities--Periodicals.,"The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.",Russian,<a href='http://hdl.handle.net/2451/42384'>http://hdl.handle.net/2451/42384</a>|<a href='http://www.worldcat.org/oclc/7105168'>OCLC: 7105168</a>,Археологические работы в Таджикистане.|Arkheologicheskie raboty v Tadzhikistane.|Arkheologicheskie raboty v Tadzhikistane,"Litvinskiĭ, B.A. (Boris Anatol'evich)","Душанбе|Dushanbe|Изд-во ""Дониш""|Izd-vo ""Donish""",,Tajikistan
full:001:https://archive.nyu.edu/bitstream/2451/42385/1/isawdca_000018.pdf|thumb:001:https://archive.nyu.edu/bitstream/2451/42385/2/isawdca_000018_thumb.png,serial,1991,406,Excavations (Archaeology)--Tajikistan--Periodicals. Tajikistan--Antiquities--Periodicals.,"The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.",Russian,<a href='http://hdl.handle.net/2451/42385'>http://hdl.handle.net/2451/42385</a>|<a href='http://www.worldcat.org/oclc/7105168'>OCLC: 7105168</a>,Археологические работы в Таджикистане.|Arkheologicheskie raboty v Tadzhikistane.|Arkheologicheskie raboty v Tadzhikistane,"Litvinskiĭ, B.A. (Boris Anatol'evich)","Душанбе|Dushanbe|Изд-во ""Дониш""|Izd-vo ""Donish""","Doklady (Akademii︠a︡i fanḣoi RSS Tojikston), t. 11.; Trudy (Akademii︠a︡i fanḣoi RSS Tojikiston), t. 37, 63, 91, 103.; Trudy (Instituti taʺrikhi ba nomi A. Donish), t. 27, 31, 34, 42.",Tajikistan
full:001:https://archive.nyu.edu/bitstream/2451/42386/1/isawdca_000019.pdf|thumb:001:https://archive.nyu.edu/bitstream/2451/42386/2/isawdca_000019_thumb.png,serial,1993,423,Excavations (Archaeology)--Tajikistan--Periodicals. Tajikistan--Antiquities--Periodicals.,"The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.",Russian,<a href='http://hdl.handle.net/2451/42386'>http://hdl.handle.net/2451/42386</a>|<a href='http://www.worldcat.org/oclc/7105168'>OCLC: 7105168</a>,Археологические работы в Таджикистане.|Arkheologicheskie raboty v Tadzhikistane.|Arkheologicheskie raboty v Tadzhikistane,"Litvinskiĭ, B.A. (Boris Anatol'evich)","Душанбе|Dushanbe|Изд-во ""Дониш""|Izd-vo ""Donish""","Doklady (Akademii︠a︡i fanḣoi RSS Tojikston), t. 11.; Trudy (Akademii︠a︡i fanḣoi RSS Tojikiston), t. 37, 63, 91, 103.; Trudy (Instituti taʺrikhi ba nomi A. Donish), t. 27, 31, 34, 42.",Tajikistan
full:001:https://archive.nyu.edu/bitstream/2451/42387/1/isawdca_000020.pdf|thumb:001:https://archive.nyu.edu/bitstream/2451/42387/2/isawdca_000020_thumb.png,serial,1994,296,Excavations (Archaeology)--Tajikistan--Periodicals. Tajikistan--Antiquities--Periodicals.,"The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.",Russian,<a href='http://hdl.handle.net/2451/42387'>http://hdl.handle.net/2451/42387</a>|<a href='http://www.worldcat.org/oclc/7105168'>OCLC: 7105168</a>,Археологические работы в Таджикистане.|Arkheologicheskie raboty v Tadzhikistane.|Arkheologicheskie raboty v Tadzhikistane,"Litvinskiĭ, B.A. (Boris Anatol'evich)","Душанбе|Dushanbe|Изд-во ""Дониш""|Izd-vo ""Donish""","Doklady (Akademii︠a︡i fanḣoi RSS Tojikston), t. 11.; Trudy (Akademii︠a︡i fanḣoi RSS Tojikiston), t. 37, 63, 91, 103.; Trudy (Instituti taʺrikhi ba nomi A. Donish), t. 27, 31, 34, 42.",Tajikistan
full:001:https://archive.nyu.edu/bitstream/2451/42388/1/isawdca_000021.pdf|thumb:001:https://archive.nyu.edu/bitstream/2451/42388/2/isawdca_000021_thumb.png,serial,2000,266,Excavations (Archaeology)--Tajikistan--Periodicals. Tajikistan--Antiquities--Periodicals.,"The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.",Russian,<a href='http://hdl.handle.net/2451/42388'>http://hdl.handle.net/2451/42388</a>|<a href='http://www.worldcat.org/oclc/7105168'>OCLC: 7105168</a>,Археологические работы в Таджикистане.|Arkheologicheskie raboty v Tadzhikistane.|Arkheologicheskie raboty v Tadzhikistane,"Litvinskiĭ, B.A. (Boris Anatol'evich)",Душанбе|Dushanbe|Академия наук республики Таджикистан|Academia Nauk Respubliki Tajikistan,,Tajikistan
full:001:https://archive.nyu.edu/bitstream/2451/42421/1/isawdca_000022.pdf|thumb:001:https://archive.nyu.edu/bitstream/2451/42421/2/isawdca_000022_thumb.png,book,1983,122,Bronze age -- Uzbekistan. Uzbekistan -- Antiquities. Antiquities.,"The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.",Russian,<a href='http://hdl.handle.net/2451/42421'>http://hdl.handle.net/2451/42421</a>|<a href='http://www.worldcat.org/oclc/11847399'>OCLC: 11847399</a>,Джаркутан (к проблеме протогородской цивилизации на юге Узбекистана)|Dzharkutan : k probleme protogorodskoĭ t︠s︡ivilizat︠s︡ii na i︠u︡ge Uzbekistana,"Askarov, A. A. (Akhmadali Askarovich)|Аскаров, А.А., Абдулаев, Б.Н.|Abdullaev, B. N.","Ташкент|Tashkent|Изд-во ""Фан"" Узбекской ССР|Izd-vo ""Fan"" Uzbekskoĭ SSR",,Uzbekistan
full:001:https://archive.nyu.edu/bitstream/2451/42432/1/isawdca_000023.pdf|thumb:001:https://archive.nyu.edu/bitstream/2451/42432/2/isawdca_000023_thumb.png,book,1987,121,Islamic Empire--History,"The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.",Russian,<a href='http://hdl.handle.net/2451/42432'>http://hdl.handle.net/2451/42432</a>|<a href='http://www.worldcat.org/oclc/20670187'>OCLC: 20670187</a>,"Завоевание Хорасана (извлечение из соченения 'Футух ал-Булдан')|Zavoevanie Horasana (izvlechenie iz sochenenia ""Futuh al-Buldan"")|Futūḥ al-buldān. Selections. Russian","Balādhurī, Aḥmad ibn Yaḥyá, -892|Ахмад ибн иахиа ибн Джабир ал-Балазури|Goibov, G. (translation, commentary)|Malʹt︠s︡ev, I︠U︡riĭ Stepanovich.","Душанбе|Dushanbe|Изд-во ""Дониш""|Izd-vo ""Donish""",,Tajikistan
full:001:https://archive.nyu.edu/bitstream/2451/42434/1/isawdca_000024.pdf|thumb:001:https://archive.nyu.edu/bitstream/2451/42434/2/isawdca_000024_thumb.png,book,1991,165,Tajikistan -- Historiography. Historiography -- Russia -- History. Historiography.,"The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.",Russian,<a href='http://hdl.handle.net/2451/42434'>http://hdl.handle.net/2451/42434</a>|<a href='http://www.worldcat.org/oclc/35567206'>OCLC: 35567206</a>,Освещение истории таджиков и Таджикистана в трудах русских дореволюционных исследователей|Osveshchenie istorii tadzhykov i Tadzhikistana v trudah russkih dorevolyuzionnyh issledovateleĭ,"Boqiev, O.B. (Olobolu B.)|Бокиев, О.Б.","Душанбе|Dushanbe|Изд-во ""Дониш""|Izd-vo ""Donish""",,Tajikistan
full:001:https://archive.nyu.edu/bitstream/2451/42435/1/isawdca_000027.pdf|thumb:001:https://archive.nyu.edu/bitstream/2451/42435/2/isawdca_000027_thumb.png,book,1990,214,Buddhism --Psychology. Buddhism and culture. Buddhist civilization.,"The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.",Russian,<a href='http://hdl.handle.net/2451/42435'>http://hdl.handle.net/2451/42435</a>|<a href='http://www.worldcat.org/oclc/24564806'>OCLC: 24564806</a>,Буддизм и культурно-психологические традиции народов Востока|Buddizm i kulʹturno-psikhologicheskie tradit͡sii narodov Vostoka|Buddizm i kulʹturno-psikhologicheskie tradit͡sii narodov Vostoka,"Abaev, N. V. (Nikolaĭ Vi͡acheslavovich)|Абаев, Н.В.","Новосибирск|Novosibirsk|Изд-во ""Наука"", Сибирское отд-ние|Izd-vo ""Nauka,"" Sibirskoe otd-nie",,Far East
full:001:https://archive.nyu.edu/bitstream/2451/42436/1/isawdca_000028.pdf|thumb:001:https://archive.nyu.edu/bitstream/2451/42436/2/isawdca_000028_thumb.png,book,1989,175,"Buddhism--Asia, Central--History. Buddhist literature--History and criticism.","The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.",Russian,<a href='http://hdl.handle.net/2451/42436'>http://hdl.handle.net/2451/42436</a>|<a href='http://www.worldcat.org/oclc/16226376'>OCLC: 16226376</a>,Буддизм и средневековая культура народов Центральной Азии|Buddizm i srednevekovai︠a︡ kulʹtura narodov T︠S︡entralʹnoĭ Azii|Buddizm i srednevekovai︠a︡ kulʹtura narodov T︠S︡entralʹnoĭ Azii,"Gerasimova, K. M. (Ksenii︠a︡ Maksimovna)|Герасимова, К.М.|Bolsohoeva, N.D.;|Bri͡anskiǐ, M.G.;|Pubaev, R. E. (Rigbi Eshievich)","Новосибирск|Novosibirsk|Изд-во ""Наука"", Сибирское отд-ние|Izd-vo ""Nauka,"" Sibirskoe otd-nie",,Central Asia
full:001:https://archive.nyu.edu/bitstream/2451/42437/1/isawdca_000029.pdf|thumb:001:https://archive.nyu.edu/bitstream/2451/42437/2/isawdca_000029_thumb.png,serial,1996,341,Buddhist antiquities -- Uzbekistan -- Termiz. Kara-Tepe Site (Uzbekistan). Buddhist antiquities.,"The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.",Russian,<a href='http://hdl.handle.net/2451/42437'>http://hdl.handle.net/2451/42437</a>|<a href='http://www.worldcat.org/oclc/37611327'>OCLC: 37611327</a>,"Буддийские комплексы Кара-тепе в Старом Термезе: основные итоги работ, 1978-1989 гг.|Buddiĭskie kompleksy Kara-tepe v Starom Termeze : osnovnye itogi rabot, 1978-1989 gg.|Buddiĭskie kompleksy Kara-tepe v Starom Termeze : osnovnye itogi rabot, 1978-1989 gg.","Staviskiĭ, B. I͡A. (Boris I͡Akovlevich)|Ставиский, Б.Я.","Москва|Moskva|Изд-во ""Наука"", Глав. ред. восточной лит-ры|Izd-vo ""Nauka"" Glav. red. vostochnoĭ lit-ry",Материалы совместной археологической экспедиции на Кара-тепе|Materialy Sovmestnoĭ arkheologicheskoĭ ėkspedit︠s︡ii na Kara-tepe.,Uzbekistan
full:001:https://archive.nyu.edu/bitstream/2451/42438/1/isawdca_000033.pdf|thumb:001:https://archive.nyu.edu/bitstream/2451/42438/2/isawdca_000033_thumb.png,book,1972,115,Fergana Valley -- Antiquities. Antiquities. Asia -- Fergana Valley.,"The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.",Russian,<a href='http://hdl.handle.net/2451/42438'>http://hdl.handle.net/2451/42438</a>|<a href='http://www.worldcat.org/oclc/19671614'>OCLC: 19671614</a>,Древняя Кува|Drevni︠a︡i︠a︡ Kuva.|Drevni︠a︡i︠a︡ Kuva.,"Bulatova, V. A. (Vera Andreevna)|Булатова, В.А.","Ташкент|Tashkent|Изд-во ""Фан"" Узбекской ССР|Izd-vo ""Fan"" Uzbekskoĭ SSR",,Uzbekistan
full:001:https://archive.nyu.edu/bitstream/2451/42439/1/isawdca_000035.pdf|thumb:001:https://archive.nyu.edu/bitstream/2451/42439/2/isawdca_000035_thumb.png,book,1982,214,Tashkent Region (Uzbekistan) -- Antiquities. Excavations (Archaeology) -- Uzbekistan -- Tashkent Region. Antiquities.,"The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.",Russian,<a href='http://hdl.handle.net/2451/42439'>http://hdl.handle.net/2451/42439</a>|<a href='http://www.worldcat.org/oclc/21376519'>OCLC: 21376519</a>,Генезис и этапы развития городской культуры Ташкентского оазиса|Genezis i ėtapy razvitii︠a︡ gorodskoĭ kulʹtury Tashkentskogo oazisa|Genezis i ėtapy razvitii︠a︡ gorodskoĭ kulʹtury Tashkentskogo oazisa,"Buri͡akov, I͡U. F. (I͡Uriĭ Fedorovich)|Буряков, Ю.Ф.","Ташкент|Tashkent|Изд-во ""Фан"" Узбекской ССР|Izd-vo ""Fan,"" Uzbekskoĭ SSR",,Uzbekistan
full:001:https://archive.nyu.edu/bitstream/2451/42440/1/isawdca_000036.pdf|thumb:001:https://archive.nyu.edu/bitstream/2451/42440/2/isawdca_000036_thumb.png,book,1974,142,Mines and mineral resources -- Uzbekistan -- Tashkentskai͡a oblast'. Metallurgy -- Uzbekistan -- Tashkentskai͡a oblast'. Metallurgy.,"The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.",Russian,<a href='http://hdl.handle.net/2451/42440'>http://hdl.handle.net/2451/42440</a>|<a href='http://www.worldcat.org/oclc/28345183'>OCLC: 28345183</a>,Горное дело и металлургия средневекового Илака (V - нач. XIII в.)|Gornoe delo i metallurgii︠a︡ srednevekovogo Ilaka : V--nachalo XIII v.|Gornoe delo i metallurgii︠a︡ srednevekovogo Ilaka : V--nachalo XIII v.,"Buri͡akov, I͡U. F. (I͡Uriĭ Fedorovich)|Буряков, Ю.Ф.","Москва|Moskva|Изд-во ""Наука""|Izd-vo ""Nauka""",,Uzbekistan
full:001:https://archive.nyu.edu/bitstream/2451/42422/1/isawdca_000037.pdf|thumb:001:https://archive.nyu.edu/bitstream/2451/42422/2/isawdca_000037_thumb.png,book,1975,206,Tashkent (Uzbekistan) -- Antiquities. Uzbekistan -- Antiquities. Antiquities.,"The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.",Russian,<a href='http://hdl.handle.net/2451/42422'>http://hdl.handle.net/2451/42422</a>|<a href='http://www.worldcat.org/oclc/3392204'>OCLC: 3392204</a>,"Историческая топография древних городов Ташкентского оазиса (Чач, Илак)|Istoricheskai︠a︡ topografii︠a︡ drevnikh gorodov Tashkentskogo oazisa : istoriko-arkheologicheskiĭ ocherk Chacha i Ilaka|Istoricheskai︠a︡ topografii︠a︡ drevnikh gorodov Tashkentskogo oazisa : istoriko-arkheologicheskiĭ ocherk Chacha i Ilaka","Buri͡akov, I͡U. F. (I͡Uriĭ Fedorovich)|Буряков, Ю.Ф.|Kasymov, M.R.|Rostovt͡sev, O.M.","Ташкент|Tashkent|Изд-во ""Фан"" Узбекской ССР|Izd-vo ""Fan"" Uzbekskoĭ SSR",,Uzbekistan
