Dublin Core:Identifier,Dublin Core:Identifier,Dublin Core:Relation,Dublin Core:Identifier,Dublin Core:Type,Dublin Core:Title,Dublin Core:Title,Dublin Core:Title,Dublin Core:Creator,Dublin Core:Creator,Dublin Core:Publisher,Dublin Core:Publisher,Dublin Core:Publisher,Dublin Core:Publisher,Dublin Core:Date,Dublin Core:Extent,Dublin Core:Description,Dublin Core:Description,Dublin Core:Coverage,Dublin Core:Subject,Dublin Core:Rights,Dublin Core:Creator,Dublin Core:Creator,Dublin Core:Creator,Dublin Core:Creator,Dublin Core:Description,Dublin Core:Description,Dublin Core:Language,Dublin Core:Coverage,Dublin Core:Relation1,Dublin Core:Relation2,Dublin Core:Identifier_,Dublin Core:Title_,Dublin Core:Creator_,Dublin Core:Publisher_,Dublin Core:Description_,Dublin Core:Coverage_,Dublin Core:Relation_
<a href='http://hdl.handle.net/2451/42380'>http://hdl.handle.net/2451/42380</a>,,isawdca_000004.pdf,<a href='http://www.worldcat.org/oclc/7105168'>OCLC: 7105168</a>,serial,Археологические работы в Таджикистане.,Arkheologicheskie raboty v Tadzhikistane.,Arkheologicheskie raboty v Tadzhikistane,,,Душанбе,Dushanbe,Изд-во Академии наук Таджикской ССР,Izd-vo Akademii nauk Tadzhikskoĭ SSR,1964,144,,"Doklady (Akademii︠a︡i fanḣoi RSS Tojikston), t. 11.; Trudy (Akademii︠a︡i fanḣoi RSS Tojikiston), t. 37, 63, 91, 103.; Trudy (Instituti taʺrikhi ba nomi A. Donish), t. 27, 31, 34, 42.",Tajikistan,Excavations (Archaeology)--Tajikistan--Periodicals. Tajikistan--Antiquities--Periodicals.,"The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.","Litvinskiĭ, B.A. (Boris Anatol'evich)",,,,,,Russian,,<a href='full:001:https://archive.nyu.edu/bitstream/2451/42380'>full:001:https://archive.nyu.edu/bitstream/2451/42380</a>/1/isawdca_000004.pdf,<a href='thumb:001:https://archive.nyu.edu/bitstream/2451/42380'>thumb:001:https://archive.nyu.edu/bitstream/2451/42380</a>/2/isawdca_000004_thumb.png,<a href='http://hdl.handle.net/2451/42380'>http://hdl.handle.net/2451/42380</a>|<a href='http://www.worldcat.org/oclc/7105168'>OCLC: 7105168</a>,Археологические работы в Таджикистане.|Arkheologicheskie raboty v Tadzhikistane.|Arkheologicheskie raboty v Tadzhikistane,"Litvinskiĭ, B.A. (Boris Anatol'evich)",Душанбе|Dushanbe|Изд-во Академии наук Таджикской ССР|Izd-vo Akademii nauk Tadzhikskoĭ SSR,"Doklady (Akademii︠a︡i fanḣoi RSS Tojikston), t. 11.; Trudy (Akademii︠a︡i fanḣoi RSS Tojikiston), t. 37, 63, 91, 103.; Trudy (Instituti taʺrikhi ba nomi A. Donish), t. 27, 31, 34, 42.",Tajikistan,<a href='full:001:https://archive.nyu.edu/bitstream/2451/42380'>full:001:https://archive.nyu.edu/bitstream/2451/42380</a>/1/isawdca_000004.pdf|<a href='thumb:001:https://archive.nyu.edu/bitstream/2451/42380'>thumb:001:https://archive.nyu.edu/bitstream/2451/42380</a>/2/isawdca_000004_thumb.png
<a href='http://hdl.handle.net/2451/42389'>http://hdl.handle.net/2451/42389</a>,,isawdca_000006.pdf,<a href='http://www.worldcat.org/oclc/7105168'>OCLC: 7105168</a>,serial,Археологические работы в Таджикистане.,Arkheologicheskie raboty v Tadzhikistane.,Arkheologicheskie raboty v Tadzhikistane,,,Душанбе,Dushanbe,"Изд-во ""Дониш""","Izd-vo ""Donish""",1975,267,,"Doklady (Akademii︠a︡i fanḣoi RSS Tojikston), t. 11.; Trudy (Akademii︠a︡i fanḣoi RSS Tojikiston), t. 37, 63, 91, 103.; Trudy (Instituti taʺrikhi ba nomi A. Donish), t. 27, 31, 34, 42.",Tajikistan,Excavations (Archaeology)--Tajikistan--Periodicals. Tajikistan--Antiquities--Periodicals.,"The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.","Litvinskiĭ, B.A. (Boris Anatol'evich)",,,,,,Russian,,<a href='full:001:https://archive.nyu.edu/bitstream/2451/42389'>full:001:https://archive.nyu.edu/bitstream/2451/42389</a>/1/isawdca_000006.pdf,<a href='thumb:001:https://archive.nyu.edu/bitstream/2451/42389'>thumb:001:https://archive.nyu.edu/bitstream/2451/42389</a>/2/isawdca_000006_thumb.png,<a href='http://hdl.handle.net/2451/42389'>http://hdl.handle.net/2451/42389</a>|<a href='http://www.worldcat.org/oclc/7105168'>OCLC: 7105168</a>,Археологические работы в Таджикистане.|Arkheologicheskie raboty v Tadzhikistane.|Arkheologicheskie raboty v Tadzhikistane,"Litvinskiĭ, B.A. (Boris Anatol'evich)","Душанбе|Dushanbe|Изд-во ""Дониш""|Izd-vo ""Donish""","Doklady (Akademii︠a︡i fanḣoi RSS Tojikston), t. 11.; Trudy (Akademii︠a︡i fanḣoi RSS Tojikiston), t. 37, 63, 91, 103.; Trudy (Instituti taʺrikhi ba nomi A. Donish), t. 27, 31, 34, 42.",Tajikistan,<a href='full:001:https://archive.nyu.edu/bitstream/2451/42389'>full:001:https://archive.nyu.edu/bitstream/2451/42389</a>/1/isawdca_000006.pdf|<a href='thumb:001:https://archive.nyu.edu/bitstream/2451/42389'>thumb:001:https://archive.nyu.edu/bitstream/2451/42389</a>/2/isawdca_000006_thumb.png
<a href='http://hdl.handle.net/2451/42390'>http://hdl.handle.net/2451/42390</a>,,isawdca_000007.pdf,<a href='http://www.worldcat.org/oclc/7105168'>OCLC: 7105168</a>,serial,Археологические работы в Таджикистане.,Arkheologicheskie raboty v Tadzhikistane.,Arkheologicheskie raboty v Tadzhikistane,,,Душанбе,Dushanbe,"Изд-во ""Дониш""","Izd-vo ""Donish""",1976,217,,"Doklady (Akademii︠a︡i fanḣoi RSS Tojikston), t. 11.; Trudy (Akademii︠a︡i fanḣoi RSS Tojikiston), t. 37, 63, 91, 103.; Trudy (Instituti taʺrikhi ba nomi A. Donish), t. 27, 31, 34, 42.",Tajikistan,Excavations (Archaeology)--Tajikistan--Periodicals. Tajikistan--Antiquities--Periodicals.,"The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.","Litvinskiĭ, B.A. (Boris Anatol'evich)",,,,,,Russian,,<a href='full:001:https://archive.nyu.edu/bitstream/2451/42390'>full:001:https://archive.nyu.edu/bitstream/2451/42390</a>/1/isawdca_000007.pdf,<a href='thumb:001:https://archive.nyu.edu/bitstream/2451/42390'>thumb:001:https://archive.nyu.edu/bitstream/2451/42390</a>/2/isawdca_000007_thumb.png,<a href='http://hdl.handle.net/2451/42390'>http://hdl.handle.net/2451/42390</a>|<a href='http://www.worldcat.org/oclc/7105168'>OCLC: 7105168</a>,Археологические работы в Таджикистане.|Arkheologicheskie raboty v Tadzhikistane.|Arkheologicheskie raboty v Tadzhikistane,"Litvinskiĭ, B.A. (Boris Anatol'evich)","Душанбе|Dushanbe|Изд-во ""Дониш""|Izd-vo ""Donish""","Doklady (Akademii︠a︡i fanḣoi RSS Tojikston), t. 11.; Trudy (Akademii︠a︡i fanḣoi RSS Tojikiston), t. 37, 63, 91, 103.; Trudy (Instituti taʺrikhi ba nomi A. Donish), t. 27, 31, 34, 42.",Tajikistan,<a href='full:001:https://archive.nyu.edu/bitstream/2451/42390'>full:001:https://archive.nyu.edu/bitstream/2451/42390</a>/1/isawdca_000007.pdf|<a href='thumb:001:https://archive.nyu.edu/bitstream/2451/42390'>thumb:001:https://archive.nyu.edu/bitstream/2451/42390</a>/2/isawdca_000007_thumb.png
<a href='http://hdl.handle.net/2451/42391'>http://hdl.handle.net/2451/42391</a>,,isawdca_000008.pdf,<a href='http://www.worldcat.org/oclc/7105168'>OCLC: 7105168</a>,serial,Археологические работы в Таджикистане.,Arkheologicheskie raboty v Tadzhikistane.,Arkheologicheskie raboty v Tadzhikistane,,,Душанбе,Dushanbe,"Изд-во ""Дониш""","Izd-vo ""Donish""",1977,280,,,Tajikistan,Excavations (Archaeology)--Tajikistan--Periodicals. Tajikistan--Antiquities--Periodicals.,"The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.","Litvinskiĭ, B.A. (Boris Anatol'evich)",,,,,,Russian,,<a href='full:001:https://archive.nyu.edu/bitstream/2451/42391'>full:001:https://archive.nyu.edu/bitstream/2451/42391</a>/1/isawdca_000008.pdf,<a href='thumb:001:https://archive.nyu.edu/bitstream/2451/42391'>thumb:001:https://archive.nyu.edu/bitstream/2451/42391</a>/2/isawdca_000008_thumb.png,<a href='http://hdl.handle.net/2451/42391'>http://hdl.handle.net/2451/42391</a>|<a href='http://www.worldcat.org/oclc/7105168'>OCLC: 7105168</a>,Археологические работы в Таджикистане.|Arkheologicheskie raboty v Tadzhikistane.|Arkheologicheskie raboty v Tadzhikistane,"Litvinskiĭ, B.A. (Boris Anatol'evich)","Душанбе|Dushanbe|Изд-во ""Дониш""|Izd-vo ""Donish""",,Tajikistan,<a href='full:001:https://archive.nyu.edu/bitstream/2451/42391'>full:001:https://archive.nyu.edu/bitstream/2451/42391</a>/1/isawdca_000008.pdf|<a href='thumb:001:https://archive.nyu.edu/bitstream/2451/42391'>thumb:001:https://archive.nyu.edu/bitstream/2451/42391</a>/2/isawdca_000008_thumb.png
<a href='http://hdl.handle.net/2451/42392'>http://hdl.handle.net/2451/42392</a>,,isawdca_000009.pdf,<a href='http://www.worldcat.org/oclc/7105168'>OCLC: 7105168</a>,serial,Археологические работы в Таджикистане.,Arkheologicheskie raboty v Tadzhikistane.,Arkheologicheskie raboty v Tadzhikistane,,,Душанбе,Dushanbe,"Изд-во ""Дониш""","Izd-vo ""Donish""",1979,392,,,Tajikistan,Excavations (Archaeology)--Tajikistan--Periodicals. Tajikistan--Antiquities--Periodicals.,"The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.","Litvinskiĭ, B.A. (Boris Anatol'evich)",,,,,,Russian,,<a href='full:001:https://archive.nyu.edu/bitstream/2451/42392'>full:001:https://archive.nyu.edu/bitstream/2451/42392</a>/1/isawdca_000009.pdf,<a href='thumb:001:https://archive.nyu.edu/bitstream/2451/42392'>thumb:001:https://archive.nyu.edu/bitstream/2451/42392</a>/2/isawdca_000009_thumb.png,<a href='http://hdl.handle.net/2451/42392'>http://hdl.handle.net/2451/42392</a>|<a href='http://www.worldcat.org/oclc/7105168'>OCLC: 7105168</a>,Археологические работы в Таджикистане.|Arkheologicheskie raboty v Tadzhikistane.|Arkheologicheskie raboty v Tadzhikistane,"Litvinskiĭ, B.A. (Boris Anatol'evich)","Душанбе|Dushanbe|Изд-во ""Дониш""|Izd-vo ""Donish""",,Tajikistan,<a href='full:001:https://archive.nyu.edu/bitstream/2451/42392'>full:001:https://archive.nyu.edu/bitstream/2451/42392</a>/1/isawdca_000009.pdf|<a href='thumb:001:https://archive.nyu.edu/bitstream/2451/42392'>thumb:001:https://archive.nyu.edu/bitstream/2451/42392</a>/2/isawdca_000009_thumb.png
<a href='http://hdl.handle.net/2451/42393'>http://hdl.handle.net/2451/42393</a>,,isawdca_000010.pdf,<a href='http://www.worldcat.org/oclc/7105168'>OCLC: 7105168</a>,serial,Археологические работы в Таджикистане.,Arkheologicheskie raboty v Tadzhikistane.,Arkheologicheskie raboty v Tadzhikistane,,,Душанбе,Dushanbe,"Изд-во ""Дониш""","Izd-vo ""Donish""",1980,365,,"Doklady (Akademii︠a︡i fanḣoi RSS Tojikston), t. 11.; Trudy (Akademii︠a︡i fanḣoi RSS Tojikiston), t. 37, 63, 91, 103.; Trudy (Instituti taʺrikhi ba nomi A. Donish), t. 27, 31, 34, 42.",Tajikistan,Excavations (Archaeology)--Tajikistan--Periodicals. Tajikistan--Antiquities--Periodicals.,"The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.","Litvinskiĭ, B.A. (Boris Anatol'evich)",,,,,,Russian,,<a href='full:001:https://archive.nyu.edu/bitstream/2451/42393'>full:001:https://archive.nyu.edu/bitstream/2451/42393</a>/1/isawdca_000010.pdf,<a href='thumb:001:https://archive.nyu.edu/bitstream/2451/42393'>thumb:001:https://archive.nyu.edu/bitstream/2451/42393</a>/2/isawdca_000010_thumb.png,<a href='http://hdl.handle.net/2451/42393'>http://hdl.handle.net/2451/42393</a>|<a href='http://www.worldcat.org/oclc/7105168'>OCLC: 7105168</a>,Археологические работы в Таджикистане.|Arkheologicheskie raboty v Tadzhikistane.|Arkheologicheskie raboty v Tadzhikistane,"Litvinskiĭ, B.A. (Boris Anatol'evich)","Душанбе|Dushanbe|Изд-во ""Дониш""|Izd-vo ""Donish""","Doklady (Akademii︠a︡i fanḣoi RSS Tojikston), t. 11.; Trudy (Akademii︠a︡i fanḣoi RSS Tojikiston), t. 37, 63, 91, 103.; Trudy (Instituti taʺrikhi ba nomi A. Donish), t. 27, 31, 34, 42.",Tajikistan,<a href='full:001:https://archive.nyu.edu/bitstream/2451/42393'>full:001:https://archive.nyu.edu/bitstream/2451/42393</a>/1/isawdca_000010.pdf|<a href='thumb:001:https://archive.nyu.edu/bitstream/2451/42393'>thumb:001:https://archive.nyu.edu/bitstream/2451/42393</a>/2/isawdca_000010_thumb.png
<a href='http://hdl.handle.net/2451/42394'>http://hdl.handle.net/2451/42394</a>,,isawdca_000011.pdf,<a href='http://www.worldcat.org/oclc/7105168'>OCLC: 7105168</a>,serial,Археологические работы в Таджикистане.,Arkheologicheskie raboty v Tadzhikistane.,Arkheologicheskie raboty v Tadzhikistane,,,Душанбе,Dushanbe,"Изд-во ""Дониш""","Izd-vo ""Donish""",1982,350,,"Doklady (Akademii︠a︡i fanḣoi RSS Tojikston), t. 11.; Trudy (Akademii︠a︡i fanḣoi RSS Tojikiston), t. 37, 63, 91, 103.; Trudy (Instituti taʺrikhi ba nomi A. Donish), t. 27, 31, 34, 42.",Tajikistan,Excavations (Archaeology)--Tajikistan--Periodicals. Tajikistan--Antiquities--Periodicals.,"The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.","Litvinskiĭ, B.A. (Boris Anatol'evich) ",,,,,,Russian,,<a href='full:001:https://archive.nyu.edu/bitstream/2451/42394'>full:001:https://archive.nyu.edu/bitstream/2451/42394</a>/1/isawdca_000011.pdf,<a href='thumb:001:https://archive.nyu.edu/bitstream/2451/42394'>thumb:001:https://archive.nyu.edu/bitstream/2451/42394</a>/2/isawdca_000011_thumb.png,<a href='http://hdl.handle.net/2451/42394'>http://hdl.handle.net/2451/42394</a>|<a href='http://www.worldcat.org/oclc/7105168'>OCLC: 7105168</a>,Археологические работы в Таджикистане.|Arkheologicheskie raboty v Tadzhikistane.|Arkheologicheskie raboty v Tadzhikistane,"Litvinskiĭ, B.A. (Boris Anatol'evich) ","Душанбе|Dushanbe|Изд-во ""Дониш""|Izd-vo ""Donish""","Doklady (Akademii︠a︡i fanḣoi RSS Tojikston), t. 11.; Trudy (Akademii︠a︡i fanḣoi RSS Tojikiston), t. 37, 63, 91, 103.; Trudy (Instituti taʺrikhi ba nomi A. Donish), t. 27, 31, 34, 42.",Tajikistan,<a href='full:001:https://archive.nyu.edu/bitstream/2451/42394'>full:001:https://archive.nyu.edu/bitstream/2451/42394</a>/1/isawdca_000011.pdf|<a href='thumb:001:https://archive.nyu.edu/bitstream/2451/42394'>thumb:001:https://archive.nyu.edu/bitstream/2451/42394</a>/2/isawdca_000011_thumb.png
<a href='http://hdl.handle.net/2451/42395'>http://hdl.handle.net/2451/42395</a>,,isawdca_000012.pdf,<a href='http://www.worldcat.org/oclc/7105168'>OCLC: 7105168</a>,serial,Археологические работы в Таджикистане.,Arkheologicheskie raboty v Tadzhikistane.,Arkheologicheskie raboty v Tadzhikistane,,,Душанбе,Dushanbe,"Изд-во ""Дониш""","Izd-vo ""Donish""",1983,316,,"Doklady (Akademii︠a︡i fanḣoi RSS Tojikston), t. 11.; Trudy (Akademii︠a︡i fanḣoi RSS Tojikiston), t. 37, 63, 91, 103.; Trudy (Instituti taʺrikhi ba nomi A. Donish), t. 27, 31, 34, 42.",Tajikistan,Excavations (Archaeology)--Tajikistan--Periodicals. Tajikistan--Antiquities--Periodicals.,"The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.","Litvinskiĭ, B.A. (Boris Anatol'evich)",,,,,,Russian,,<a href='full:001:https://archive.nyu.edu/bitstream/2451/42395'>full:001:https://archive.nyu.edu/bitstream/2451/42395</a>/1/isawdca_000012.pdf,<a href='thumb:001:https://archive.nyu.edu/bitstream/2451/42395'>thumb:001:https://archive.nyu.edu/bitstream/2451/42395</a>/2/isawdca_000012_thumb.png,<a href='http://hdl.handle.net/2451/42395'>http://hdl.handle.net/2451/42395</a>|<a href='http://www.worldcat.org/oclc/7105168'>OCLC: 7105168</a>,Археологические работы в Таджикистане.|Arkheologicheskie raboty v Tadzhikistane.|Arkheologicheskie raboty v Tadzhikistane,"Litvinskiĭ, B.A. (Boris Anatol'evich)","Душанбе|Dushanbe|Изд-во ""Дониш""|Izd-vo ""Donish""","Doklady (Akademii︠a︡i fanḣoi RSS Tojikston), t. 11.; Trudy (Akademii︠a︡i fanḣoi RSS Tojikiston), t. 37, 63, 91, 103.; Trudy (Instituti taʺrikhi ba nomi A. Donish), t. 27, 31, 34, 42.",Tajikistan,<a href='full:001:https://archive.nyu.edu/bitstream/2451/42395'>full:001:https://archive.nyu.edu/bitstream/2451/42395</a>/1/isawdca_000012.pdf|<a href='thumb:001:https://archive.nyu.edu/bitstream/2451/42395'>thumb:001:https://archive.nyu.edu/bitstream/2451/42395</a>/2/isawdca_000012_thumb.png
<a href='http://hdl.handle.net/2451/42396'>http://hdl.handle.net/2451/42396</a>,,isawdca_000013.pdf,<a href='http://www.worldcat.org/oclc/7105168'>OCLC: 7105168</a>,serial,Археологические работы в Таджикистане.,Arkheologicheskie raboty v Tadzhikistane.,Arkheologicheskie raboty v Tadzhikistane,,,Душанбе,Dushanbe,"Изд-во ""Дониш""","Izd-vo ""Donish""",1984,377,,,Tajikistan,Excavations (Archaeology)--Tajikistan--Periodicals. Tajikistan--Antiquities--Periodicals.,"The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.","Litvinskiĭ, B.A. (Boris Anatol'evich)",,,,,,Russian,,<a href='full:001:https://archive.nyu.edu/bitstream/2451/42396'>full:001:https://archive.nyu.edu/bitstream/2451/42396</a>/1/isawdca_000013.pdf,<a href='thumb:001:https://archive.nyu.edu/bitstream/2451/42396'>thumb:001:https://archive.nyu.edu/bitstream/2451/42396</a>/2/isawdca_000013_thumb.png,<a href='http://hdl.handle.net/2451/42396'>http://hdl.handle.net/2451/42396</a>|<a href='http://www.worldcat.org/oclc/7105168'>OCLC: 7105168</a>,Археологические работы в Таджикистане.|Arkheologicheskie raboty v Tadzhikistane.|Arkheologicheskie raboty v Tadzhikistane,"Litvinskiĭ, B.A. (Boris Anatol'evich)","Душанбе|Dushanbe|Изд-во ""Дониш""|Izd-vo ""Donish""",,Tajikistan,<a href='full:001:https://archive.nyu.edu/bitstream/2451/42396'>full:001:https://archive.nyu.edu/bitstream/2451/42396</a>/1/isawdca_000013.pdf|<a href='thumb:001:https://archive.nyu.edu/bitstream/2451/42396'>thumb:001:https://archive.nyu.edu/bitstream/2451/42396</a>/2/isawdca_000013_thumb.png
<a href='http://hdl.handle.net/2451/42381'>http://hdl.handle.net/2451/42381</a>,,isawdca_000014.pdf,<a href='http://www.worldcat.org/oclc/7105168'>OCLC: 7105168</a>,serial,Археологические работы в Таджикистане.,Arkheologicheskie raboty v Tadzhikistane.,Arkheologicheskie raboty v Tadzhikistane,,,Душанбе,Dushanbe,"Изд-во ""Дониш""","Izd-vo ""Donish""",1986,477,,"Doklady (Akademii︠a︡i fanḣoi RSS Tojikston), t. 11.; Trudy (Akademii︠a︡i fanḣoi RSS Tojikiston), t. 37, 63, 91, 103.; Trudy (Instituti taʺrikhi ba nomi A. Donish), t. 27, 31, 34, 42.",Tajikistan,Excavations (Archaeology)--Tajikistan--Periodicals. Tajikistan--Antiquities--Periodicals.,"The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.","Litvinskiĭ, B.A. (Boris Anatol'evich)",,,,,,Russian,,<a href='full:001:https://archive.nyu.edu/bitstream/2451/42381'>full:001:https://archive.nyu.edu/bitstream/2451/42381</a>/1/isawdca_000014.pdf,<a href='thumb:001:https://archive.nyu.edu/bitstream/2451/42381'>thumb:001:https://archive.nyu.edu/bitstream/2451/42381</a>/2/isawdca_000014_thumb.png,<a href='http://hdl.handle.net/2451/42381'>http://hdl.handle.net/2451/42381</a>|<a href='http://www.worldcat.org/oclc/7105168'>OCLC: 7105168</a>,Археологические работы в Таджикистане.|Arkheologicheskie raboty v Tadzhikistane.|Arkheologicheskie raboty v Tadzhikistane,"Litvinskiĭ, B.A. (Boris Anatol'evich)","Душанбе|Dushanbe|Изд-во ""Дониш""|Izd-vo ""Donish""","Doklady (Akademii︠a︡i fanḣoi RSS Tojikston), t. 11.; Trudy (Akademii︠a︡i fanḣoi RSS Tojikiston), t. 37, 63, 91, 103.; Trudy (Instituti taʺrikhi ba nomi A. Donish), t. 27, 31, 34, 42.",Tajikistan,<a href='full:001:https://archive.nyu.edu/bitstream/2451/42381'>full:001:https://archive.nyu.edu/bitstream/2451/42381</a>/1/isawdca_000014.pdf|<a href='thumb:001:https://archive.nyu.edu/bitstream/2451/42381'>thumb:001:https://archive.nyu.edu/bitstream/2451/42381</a>/2/isawdca_000014_thumb.png
